"id","company_id/id","previous_bom_id/id","product_tmpl_id/id","product_uom_id/id","code","product_qty","type","ready_to_produce","consumption","sequence","active","bom_line_ids/id","bom_line_ids/product_id/id","bom_line_ids/product_uom_id/id","bom_line_ids/product_qty","bom_line_ids/manual_consumption","bom_line_ids/sequence"
"","","","","","","","","","","","","marin.bom_line_1136","marin.product_product_1131","uom.product_uom_unit","83.0","","6"
"","","","","","","","","","","","","marin.bom_line_1137","marin.product_product_1504","uom.product_uom_unit","83.0","","7"
"","","","","","","","","","","","","marin.bom_line_1138","marin.product_product_2333","uom.product_uom_unit","1.5","","8"
"marin.bom_1015","marin.company_lmmg","","marin.product_template_1546","marin.uom_uom_133","Refill Ferti Beet XM 6x2Kg 200","100.0","Manufacture this product"," When all components are available","Allowed with warning","6","True","marin.bom_line_1139","marin.product_product_1309","uom.product_uom_kgm","200.0","","5"
"","","","","","","","","","","","","marin.bom_line_1140","marin.product_product_1545","uom.product_uom_kgm","0.0","True","6"
"","","","","","","","","","","","","marin.bom_line_1141","marin.product_product_1733","uom.product_uom_unit","100.0","","7"
"","","","","","","","","","","","","marin.bom_line_1142","marin.product_product_1131","uom.product_uom_unit","17.0","","8"
"","","","","","","","","","","","","marin.bom_line_1143","marin.product_product_1504","uom.product_uom_unit","17.0","","9"
"","","","","","","","","","","","","marin.bom_line_1144","marin.product_product_2333","uom.product_uom_unit","0.5","","10"
"marin.bom_1016","marin.company_lmmg","","marin.product_template_1579","uom.product_uom_litre","Refill Fortexyl XM 12x1L 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","7","True","marin.bom_line_1145","marin.product_product_1807","uom.product_uom_litre","1000.0","True","1"
"","","","","","","","","","","","","marin.bom_line_1146","marin.product_product_1870","uom.product_uom_unit","1000.0","","2"
"","","","","","","","","","","","","marin.bom_line_1147","marin.product_product_1668","uom.product_uom_unit","1000.0","","3"
"","","","","","","","","","","","","marin.bom_line_1148","marin.product_product_1126","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","marin.bom_line_1149","marin.product_product_1132","uom.product_uom_unit","83.0","","5"
"","","","","","","","","","","","","marin.bom_line_1150","marin.product_product_1504","uom.product_uom_unit","83.0","","6"
"","","","","","","","","","","","","marin.bom_line_1151","marin.product_product_2333","uom.product_uom_unit","2.0","","7"
"marin.bom_1017","marin.company_lmmg","","marin.product_template_1664","uom.product_uom_kgm","Refill Ingenux 80 XM 8x1Kg 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","8","True","marin.bom_line_1152","marin.product_product_1607","marin.uom_uom_123","40.0","True","1"
"","","","","","","","","","","","","marin.bom_line_1153","marin.product_product_1734","uom.product_uom_unit","1000.0","","2"
"","","","","","","","","","","","","marin.bom_line_1154","marin.product_product_1841","uom.product_uom_unit","83.33","","3"
"","","","","","","","","","","","","marin.bom_line_1155","marin.product_product_2116","uom.product_uom_unit","83.33","","4"
"","","","","","","","","","","","","marin.bom_line_1156","marin.product_product_2333","uom.product_uom_unit","2.0","","5"
"marin.bom_1018","marin.company_lmmg","","marin.product_template_1747","uom.product_uom_litre","Formulate Linexar CT 12x1L Batch 500","500.0","Manufacture this product"," When all components are available","Allowed with warning","20","True","marin.bom_line_1157","marin.product_product_1468","uom.product_uom_kgm","43.34","True","1"
"","","","","","","","","","","","","marin.bom_line_1158","marin.product_product_1402","uom.product_uom_kgm","304.54","True","2"
"","","","","","","","","","","","","marin.bom_line_1159","marin.product_product_1730","uom.product_uom_kgm","19.34","True","3"
"","","","","","","","","","","","","marin.bom_line_1160","marin.product_product_1260","uom.product_uom_kgm","10.18","True","4"
"","","","","","","","","","","","","marin.bom_line_1161","marin.product_product_1261","uom.product_uom_kgm","30.55","True","5"
"","","","","","","","","","","","","marin.bom_line_1162","marin.product_product_1834","uom.product_uom_kgm","3.22","True","6"
"","","","","","","","","","","","","marin.bom_line_1163","marin.product_product_1122","uom.product_uom_kgm","0.58","True","7"
"","","","","","","","","","","","","marin.bom_line_1164","marin.product_product_2125","uom.product_uom_kgm","6.45","True","8"
"","","","","","","","","","","","","marin.bom_line_1165","marin.product_product_1576","uom.product_uom_kgm","0.26","","9"
"","","","","","","","","","","","","marin.bom_line_1166","marin.product_product_1666","uom.product_uom_unit","500.0","","12"
"","","","","","","","","","","","","marin.bom_line_1167","marin.product_product_1667","uom.product_uom_unit","500.0","","13"
"","","","","","","","","","","","","marin.bom_line_1168","marin.product_product_2102","uom.product_uom_unit","500.0","","14"
"","","","","","","","","","","","","marin.bom_line_1169","marin.product_product_1504","uom.product_uom_unit","42.0","","15"
"","","","","","","","","","","","","marin.bom_line_1170","marin.product_product_2111","uom.product_uom_unit","42.0","","16"
"","","","","","","","","","","","","marin.bom_line_1171","marin.product_product_2333","uom.product_uom_unit","2.0","","17"
"marin.bom_1019","marin.company_lmmg","","marin.product_template_1747","uom.product_uom_litre","Formulate Linexar CT 12x1L Batch 200","200.0","Manufacture this product"," When all components are available","Allowed with warning","21","True","marin.bom_line_1172","marin.product_product_1468","uom.product_uom_kgm","17.34","True","1"
"","","","","","","","","","","","","marin.bom_line_1173","marin.product_product_1402","uom.product_uom_kgm","121.82","True","2"
"","","","","","","","","","","","","marin.bom_line_1174","marin.product_product_1730","uom.product_uom_kgm","7.73","True","3"
"","","","","","","","","","","","","marin.bom_line_1175","marin.product_product_1260","uom.product_uom_kgm","4.07","True","4"
"","","","","","","","","","","","","marin.bom_line_1176","marin.product_product_1261","uom.product_uom_kgm","12.22","True","5"
"","","","","","","","","","","","","marin.bom_line_1177","marin.product_product_1834","uom.product_uom_kgm","1.29","True","6"
"","","","","","","","","","","","","marin.bom_line_1178","marin.product_product_1122","uom.product_uom_kgm","0.23","True","7"
"","","","","","","","","","","","","marin.bom_line_1179","marin.product_product_2125","uom.product_uom_kgm","2.58","True","8"
"","","","","","","","","","","","","marin.bom_line_1180","marin.product_product_1576","uom.product_uom_kgm","0.1","","9"
"","","","","","","","","","","","","marin.bom_line_1181","marin.product_product_1870","uom.product_uom_unit","200.0","","10"
"","","","","","","","","","","","","marin.bom_line_1182","marin.product_product_1872","uom.product_uom_unit","200.0","","11"
"","","","","","","","","","","","","marin.bom_line_1183","marin.product_product_2102","uom.product_uom_unit","200.0","","12"
"","","","","","","","","","","","","marin.bom_line_1184","marin.product_product_1841","uom.product_uom_unit","17.0","","13"
"","","","","","","","","","","","","marin.bom_line_1185","marin.product_product_2111","uom.product_uom_unit","17.0","","14"
"","","","","","","","","","","","","marin.bom_line_1186","marin.product_product_2333","uom.product_uom_unit","1.0","","15"
"marin.bom_1020","marin.company_lmmg","","marin.product_template_1747","uom.product_uom_litre","Formulate Linexar CT 12x1L Batch 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","19","True","marin.bom_line_1187","marin.product_product_1467","uom.product_uom_kgm","86.68","True","2"
"","","","","","","","","","","","","marin.bom_line_1188","marin.product_product_1402","uom.product_uom_kgm","609.09","True","3"
"","","","","","","","","","","","","marin.bom_line_1189","marin.product_product_1730","uom.product_uom_kgm","38.67","True","4"
"","","","","","","","","","","","","marin.bom_line_1190","marin.product_product_1260","uom.product_uom_kgm","20.37","True","5"
"","","","","","","","","","","","","marin.bom_line_1191","marin.product_product_1261","uom.product_uom_kgm","61.1","True","6"
"","","","","","","","","","","","","marin.bom_line_1192","marin.product_product_1834","uom.product_uom_kgm","6.45","True","7"
"","","","","","","","","","","","","marin.bom_line_1193","marin.product_product_1122","uom.product_uom_kgm","1.16","True","8"
"","","","","","","","","","","","","marin.bom_line_1194","marin.product_product_2125","uom.product_uom_kgm","12.89","True","9"
"","","","","","","","","","","","","marin.bom_line_1195","marin.product_product_1576","uom.product_uom_kgm","0.52","","10"
"","","","","","","","","","","","","marin.bom_line_1196","marin.product_product_1666","uom.product_uom_unit","1000.0","","13"
"","","","","","","","","","","","","marin.bom_line_1197","marin.product_product_1667","uom.product_uom_unit","1000.0","","14"
"","","","","","","","","","","","","marin.bom_line_1198","marin.product_product_2102","uom.product_uom_unit","1000.0","","15"
"","","","","","","","","","","","","marin.bom_line_1199","marin.product_product_1504","uom.product_uom_unit","83.0","","16"
"","","","","","","","","","","","","marin.bom_line_1200","marin.product_product_2111","uom.product_uom_unit","83.0","","17"
"","","","","","","","","","","","","marin.bom_line_1201","marin.product_product_2333","uom.product_uom_unit","2.0","","18"
"marin.bom_1021","marin.company_lmmg","","marin.product_template_1751","uom.product_uom_litre","Formulate Linexar 60 XM 12x1L Batch 200","200.0","Manufacture this product"," When all components are available","Allowed with warning","24","True","marin.bom_line_1202","marin.product_product_1122","uom.product_uom_kgm","0.27","True","1"
"","","","","","","","","","","","","marin.bom_line_1203","marin.product_product_1260","uom.product_uom_kgm","3.86","True","1"
"","","","","","","","","","","","","marin.bom_line_1204","marin.product_product_1261","uom.product_uom_kgm","11.57","True","1"
"","","","","","","","","","","","","marin.bom_line_1205","marin.product_product_1468","uom.product_uom_kgm","122.46","True","1"
"","","","","","","","","","","","","marin.bom_line_1206","marin.product_product_1576","uom.product_uom_kgm","0.1","","1"
"","","","","","","","","","","","","marin.bom_line_1207","marin.product_product_1730","uom.product_uom_kgm","7.32","True","1"
"","","","","","","","","","","","","marin.bom_line_1208","marin.product_product_1834","uom.product_uom_kgm","1.95","True","1"
"","","","","","","","","","","","","marin.bom_line_1209","marin.product_product_1841","uom.product_uom_unit","17.0","","1"
"","","","","","","","","","","","","marin.bom_line_1210","marin.product_product_1870","uom.product_uom_unit","200.0","","1"
"","","","","","","","","","","","","marin.bom_line_1211","marin.product_product_1872","uom.product_uom_unit","200.0","","1"
"","","","","","","","","","","","","marin.bom_line_1212","marin.product_product_2101","uom.product_uom_unit","200.0","","1"
"","","","","","","","","","","","","marin.bom_line_1213","marin.product_product_2110","uom.product_uom_unit","17.0","","1"
"","","","","","","","","","","","","marin.bom_line_1214","marin.product_product_2125","uom.product_uom_kgm","2.44","True","1"
