id,name,qty,sales,purchase,product_id/id,package_type_id/id
marin.product_packaging_1347,15x1,15.0,True,True,marin.product_product_2332,marin.stock_package_type_11
marin.product_packaging_1348,12x1,12.0,True,True,marin.product_product_2333,marin.stock_package_type_8
marin.product_packaging_1349,12x1,12.0,True,True,marin.product_product_2339,marin.stock_package_type_8
marin.product_packaging_1350,12x1,12.0,True,True,marin.product_product_2341,marin.stock_package_type_8
marin.product_packaging_1351,12x1,12.0,True,True,marin.product_product_2342,marin.stock_package_type_8
marin.product_packaging_1352,12x1,12.0,True,True,marin.product_product_2345,marin.stock_package_type_8
marin.product_packaging_1353,12x1,12.0,True,True,marin.product_product_2349,marin.stock_package_type_8
marin.product_packaging_1354,50kg,0.05,True,True,marin.product_product_2351,marin.stock_package_type_43
marin.product_packaging_1355,12x1,12.0,True,True,marin.product_product_2361,marin.stock_package_type_8
marin.product_packaging_1356,12x1,12.0,True,True,marin.product_product_2364,marin.stock_package_type_8
marin.product_packaging_1357,50kg,0.05,True,True,marin.product_product_2367,marin.stock_package_type_43
marin.product_packaging_1358,50kg,0.05,True,True,marin.product_product_2368,marin.stock_package_type_43
marin.product_packaging_1359,50kg,0.05,True,True,marin.product_product_2369,marin.stock_package_type_43
marin.product_packaging_1360,50kg,0.05,True,True,marin.product_product_2370,marin.stock_package_type_43
marin.product_packaging_1361,50kg,0.05,True,True,marin.product_product_2371,marin.stock_package_type_43
marin.product_packaging_1362,50kg,0.05,True,True,marin.product_product_2372,marin.stock_package_type_43
marin.product_packaging_1363,50kg,0.05,True,True,marin.product_product_2373,marin.stock_package_type_43
marin.product_packaging_1364,50kg,0.05,True,True,marin.product_product_2374,marin.stock_package_type_43
marin.product_packaging_1365,50kg,0.05,True,True,marin.product_product_2375,marin.stock_package_type_43
marin.product_packaging_1366,50kg,0.05,True,True,marin.product_product_2376,marin.stock_package_type_43
marin.product_packaging_1367,50kg,0.05,True,True,marin.product_product_2377,marin.stock_package_type_43
marin.product_packaging_1368,50kg,0.05,True,True,marin.product_product_2378,marin.stock_package_type_43
marin.product_packaging_1369,50kg,0.05,True,True,marin.product_product_2379,marin.stock_package_type_43
marin.product_packaging_1370,50kg,0.05,True,True,marin.product_product_2381,marin.stock_package_type_43
marin.product_packaging_1371,50kg,0.05,True,True,marin.product_product_2382,marin.stock_package_type_43
marin.product_packaging_1372,50kg,0.05,True,True,marin.product_product_2383,marin.stock_package_type_43
marin.product_packaging_1373,50kg,0.05,True,True,marin.product_product_2384,marin.stock_package_type_43
marin.product_packaging_1374,50kg,0.05,True,True,marin.product_product_2385,marin.stock_package_type_43
marin.product_packaging_1375,50kg,0.05,True,True,marin.product_product_2386,marin.stock_package_type_43
marin.product_packaging_1376,12x1,12.0,True,True,marin.product_product_2388,marin.stock_package_type_8
marin.product_packaging_1377,12x1,12.0,True,True,marin.product_product_2390,marin.stock_package_type_8
