id,name,default_code,type,uom_id/id,uom_po_id/id,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,rent_ok,sale_ok,landed_cost_ok,is_published,is_storable,tracking,invoice_policy,purchase_method,pos_categ_ids/id,categ_id/id,unspsc_code_id/id
marin.product_template_2196,Scorpion 0.250kg,,Goods,marin.uom_uom_112,marin.uom_uom_112,0.0,1100.0,0.0,0.25,1.0,,0.0,True,,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_153,product_unspsc.unspsc_code_10171500
marin.product_template_2197,Secaquat 0.900L,,Goods,marin.uom_uom_138,marin.uom_uom_138,0.0,90.0,0.0,1.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_144,product_unspsc.unspsc_code_10161900
marin.product_template_2198,Secaquat 1x20L,,Goods,marin.uom_uom_151,marin.uom_uom_151,0.0,1800.0,0.0,22.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_144,product_unspsc.unspsc_code_10161900
marin.product_template_2199,Secaquat 1x5L,,Goods,marin.uom_uom_155,marin.uom_uom_155,0.0,400.0,0.0,5.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_144,product_unspsc.unspsc_code_10161900
marin.product_template_2200,Seeker 1x5L,,Goods,marin.uom_uom_155,marin.uom_uom_155,0.0,1.0,0.0,5.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_143,
marin.product_template_2201,Selecop 0.950L,,Goods,marin.uom_uom_137,marin.uom_uom_137,0.0,620.0,0.0001,1.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_141,product_unspsc.unspsc_code_10161901
marin.product_template_2202,Select Ultra 0.500L,,Goods,marin.uom_uom_140,marin.uom_uom_140,0.0,420.0,0.0,0.55,1.0,,0.0,,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_146,product_unspsc.unspsc_code_10161900
marin.product_template_2203,Sembrador Fertilizador grado fino,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_ag_supplies,
marin.product_template_2204,Semevin FS350 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,410.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_156,product_unspsc.unspsc_code_10171500
marin.product_template_2205,Sencor 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,720.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_150,product_unspsc.unspsc_code_10161900
marin.product_template_2206,Serenade ASO 1L,,Goods,uom.product_uom_litre,uom.product_uom_litre,0.0,330.0,0.001,1.1,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,product_unspsc.unspsc_code_10161901
marin.product_template_2207,Serenade ASO 1x10L,,Goods,marin.uom_uom_153,marin.uom_uom_153,0.0,3200.0,0.0,11.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,product_unspsc.unspsc_code_10161901
marin.product_template_2208,Serenade Max 1kg,,Goods,uom.product_uom_kgm,uom.product_uom_kgm,0.0,630.0,0.001,1.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,product_unspsc.unspsc_code_10161901
marin.product_template_2209,Serenade Opti 1kg,,Goods,uom.product_uom_kgm,uom.product_uom_kgm,0.0,950.0,0.001,1.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,product_unspsc.unspsc_code_10161901
marin.product_template_2210,Serenade Opti 1x5kg,,Goods,marin.uom_uom_131,marin.uom_uom_131,0.0,4500.0,0.0,5.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,product_unspsc.unspsc_code_10161901
marin.product_template_2211,Serenade Soil 1x10L,,Goods,marin.uom_uom_153,marin.uom_uom_153,0.0,3000.0,0.0,11.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,product_unspsc.unspsc_code_10161901
marin.product_template_2212,Serenade Soil 1x5kg,,Goods,marin.uom_uom_131,marin.uom_uom_131,0.0,3000.0,0.0,5.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,product_unspsc.unspsc_code_10161901
marin.product_template_2213,Serifel 0.500kg,,Goods,marin.uom_uom_110,marin.uom_uom_110,0.0,900.0,0.0,0.5,1.0,,0.0,True,,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_140,
