id,name,company_id/id,country_id/id,advance_tax_payment_account_id/id,tax_payable_account_id/id,tax_receivable_account_id/id,sequence
marin.tax_group_1118_ieps_3_0_xm,IEPS 3.0%,marin.company_society,base.mx,,,,10
marin.tax_group_1119_ieps_30_0_xm,IEPS 30.0%,marin.company_society,base.mx,,,,11
marin.tax_group_1120_ieps_53_0_xm,IEPS 53.0%,marin.company_society,base.mx,,,,11
marin.tax_group_1121_ieps_8_0_xm,IEPS 8.0%,marin.company_society,base.mx,,,,11
marin.tax_group_1122_ieps_pesticides_xm,IEPS pesticides,marin.company_society,base.mx,,,,11
marin.tax_group_1123_ish_xm,ISH,marin.company_society,base.mx,,,,11
marin.tax_group_1124_isr_10_0_retention_xm,ISR 10.0% retention,marin.company_society,base.mx,,,,11
marin.tax_group_1125_isr_63_67_retention_xm,ISR 63.67% retention,marin.company_society,base.mx,,,,11
marin.tax_group_1126_vat_0_0_xm,VAT 0.0%,marin.company_society,base.mx,,,,11
marin.tax_group_1127_vat_16_0_xm,VAT 16.0%,marin.company_society,base.mx,,,,11
marin.tax_group_1128_vat_8_0_xm,VAT 8.0%,marin.company_society,base.mx,,,,11
marin.tax_group_1129_vat_exempt_xm,VAT exempt,marin.company_society,base.mx,,,,11
marin.tax_group_1130_vat_1_25_retention_xm,VAT 1.25% retention,marin.company_society,base.mx,,,,11
marin.tax_group_1131_vat_10_0_retention_xm,VAT 10.0% retention,marin.company_society,base.mx,,,,11
marin.tax_group_1132_vat_10_67_retention_xm,VAT 10.67% retention,marin.company_society,base.mx,,,,11
marin.tax_group_1133_vat_4_0_retention_xm,VAT 4.0% retention,marin.company_society,base.mx,,,,11
