id,account_prefix,analytic_distribution,company_id/id,product_id/id,vehicle_id/id
marin.analytic_distribution_model_1163,401.04.00,"{""1082"": 100.0}",marin.company_lmmr,marin.product_product_1380,
marin.analytic_distribution_model_1164,501.01.00,"{""1082"": 100.0}",marin.company_lmmr,marin.product_product_1380,
marin.analytic_distribution_model_1165,401.04.00,"{""1083"": 100.0}",marin.company_lmmr,marin.product_product_1381,
marin.analytic_distribution_model_1166,501.01.00,"{""1083"": 100.0}",marin.company_lmmr,marin.product_product_1381,
marin.analytic_distribution_model_1167,401.04.00,"{""1084"": 100.0}",marin.company_lmmr,marin.product_product_1384,
marin.analytic_distribution_model_1168,501.01.00,"{""1084"": 100.0}",marin.company_lmmr,marin.product_product_1384,
marin.analytic_distribution_model_1169,401.04.00,"{""1085"": 100.0}",marin.company_lmmr,marin.product_product_1386,
marin.analytic_distribution_model_1170,501.01.00,"{""1085"": 100.0}",marin.company_lmmr,marin.product_product_1386,
marin.analytic_distribution_model_1171,401.04.00,"{""1086"": 100.0}",marin.company_lmmr,marin.product_product_1387,
marin.analytic_distribution_model_1172,501.01.00,"{""1086"": 100.0}",marin.company_lmmr,marin.product_product_1387,
marin.analytic_distribution_model_1173,401.04.00,"{""1087"": 100.0}",marin.company_lmmr,marin.product_product_1397,
marin.analytic_distribution_model_1174,501.01.00,"{""1087"": 100.0}",marin.company_lmmr,marin.product_product_1397,
marin.analytic_distribution_model_1175,401.04.00,"{""1088"": 100.0}",marin.company_lmmr,marin.product_product_1398,
marin.analytic_distribution_model_1176,501.01.00,"{""1088"": 100.0}",marin.company_lmmr,marin.product_product_1398,
marin.analytic_distribution_model_1177,401.04.00,"{""1089"": 100.0}",marin.company_lmmr,marin.product_product_1399,
marin.analytic_distribution_model_1178,501.01.00,"{""1089"": 100.0}",marin.company_lmmr,marin.product_product_1399,
marin.analytic_distribution_model_1179,401.04.00,"{""1090"": 100.0}",marin.company_lmmr,marin.product_product_1400,
marin.analytic_distribution_model_1180,501.01.00,"{""1090"": 100.0}",marin.company_lmmr,marin.product_product_1400,
marin.analytic_distribution_model_1181,401.04.00,"{""1091"": 100.0}",marin.company_lmmr,marin.product_product_1406,
marin.analytic_distribution_model_1182,501.01.00,"{""1091"": 100.0}",marin.company_lmmr,marin.product_product_1406,
marin.analytic_distribution_model_1183,401.04.00,"{""1092"": 100.0}",marin.company_lmmr,marin.product_product_1407,
marin.analytic_distribution_model_1184,501.01.00,"{""1092"": 100.0}",marin.company_lmmr,marin.product_product_1407,
marin.analytic_distribution_model_1185,401.04.00,"{""1093"": 100.0}",marin.company_lmmr,marin.product_product_1408,
marin.analytic_distribution_model_1186,501.01.00,"{""1093"": 100.0}",marin.company_lmmr,marin.product_product_1408,
marin.analytic_distribution_model_1187,401.04.00,"{""1094"": 100.0}",marin.company_lmmr,marin.product_product_1409,
marin.analytic_distribution_model_1188,501.01.00,"{""1094"": 100.0}",marin.company_lmmr,marin.product_product_1409,
marin.analytic_distribution_model_1189,401.04.00,"{""1095"": 100.0}",marin.company_lmmr,marin.product_product_1410,
marin.analytic_distribution_model_1190,501.01.00,"{""1095"": 100.0}",marin.company_lmmr,marin.product_product_1410,
marin.analytic_distribution_model_1191,401.04.00,"{""1096"": 100.0}",marin.company_lmmr,marin.product_product_1415,
marin.analytic_distribution_model_1192,501.01.00,"{""1096"": 100.0}",marin.company_lmmr,marin.product_product_1415,
marin.analytic_distribution_model_1193,401.04.00,"{""1097"": 100.0}",marin.company_lmmr,marin.product_product_1424,
