id,tax_id/id,account_id/id,tag_ids/id
marin.tax_repartition_line_5213,marin.tax_1054_vat_0_0_lmmg,,l10n_mx.l10n_mx_out_diot_0
marin.tax_repartition_line_5214,marin.tax_1054_vat_0_0_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5215,marin.tax_1054_vat_0_0_lmmg,,
marin.tax_repartition_line_5216,marin.tax_1054_vat_0_0_lmmg,marin.account_118_01_001_lmmg,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5217,marin.tax_1055_vat_0_0_lmmg,,
marin.tax_repartition_line_5218,marin.tax_1055_vat_0_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5219,marin.tax_1055_vat_0_0_lmmg,,
marin.tax_repartition_line_5220,marin.tax_1055_vat_0_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5221,marin.tax_1056_vat_0_0_non_deductible_lmmg,,
marin.tax_repartition_line_5222,marin.tax_1056_vat_0_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,
marin.tax_repartition_line_5223,marin.tax_1056_vat_0_0_non_deductible_lmmg,,
marin.tax_repartition_line_5224,marin.tax_1056_vat_0_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,
marin.tax_repartition_line_5225,marin.tax_1057_vat_16_0_lmmg,,l10n_mx.l10n_mx_out_diot_16
marin.tax_repartition_line_5226,marin.tax_1057_vat_16_0_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5227,marin.tax_1057_vat_16_0_lmmg,,
marin.tax_repartition_line_5228,marin.tax_1057_vat_16_0_lmmg,marin.account_118_01_001_lmmg,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5229,marin.tax_1058_vat_16_0_lmmg,,
marin.tax_repartition_line_5230,marin.tax_1058_vat_16_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5231,marin.tax_1058_vat_16_0_lmmg,,
marin.tax_repartition_line_5232,marin.tax_1058_vat_16_0_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5233,marin.tax_1059_vat_16_0_non_deductible_lmmg,,
marin.tax_repartition_line_5234,marin.tax_1059_vat_16_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,
marin.tax_repartition_line_5235,marin.tax_1059_vat_16_0_non_deductible_lmmg,,
marin.tax_repartition_line_5236,marin.tax_1059_vat_16_0_non_deductible_lmmg,marin.account_602_83_007_lmmg,
marin.tax_repartition_line_5237,marin.tax_1060_vat_exempt_lmmg,,l10n_mx.l10n_mx_out_diot_exento
marin.tax_repartition_line_5238,marin.tax_1060_vat_exempt_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5239,marin.tax_1060_vat_exempt_lmmg,,l10n_mx.l10n_mx_in_diot_exento
marin.tax_repartition_line_5240,marin.tax_1060_vat_exempt_lmmg,marin.account_118_01_001_lmmg,
marin.tax_repartition_line_5241,marin.tax_1061_vat_exempt_lmmg,,
marin.tax_repartition_line_5242,marin.tax_1061_vat_exempt_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5243,marin.tax_1061_vat_exempt_lmmg,,
marin.tax_repartition_line_5244,marin.tax_1061_vat_exempt_lmmg,marin.account_208_01_001_lmmg,
marin.tax_repartition_line_5245,marin.tax_1062_vat_4_0_retention_freights_lmmg,,
