id,company_id/id,currency_id/id,tag_ids/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance
marin.account_601_34_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Fees to individuals NF,601.34.002,Expenses,,No,,,,
marin.account_601_38_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Fees to legal entities FF,601.38.001,Expenses,,No,,,,
marin.account_601_38_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Fees to legal entities NF,601.38.002,Expenses,,No,,,,
marin.account_601_48_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Fuel and lubricants FF,601.48.001,Expenses,,No,,,,
marin.account_601_48_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Fuel and lubricants NF,601.48.002,Expenses,,No,,,,
marin.account_601_49_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Per diems and travel expenses FF,601.49.001,Expenses,,No,,,,
marin.account_601_49_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Per diems and travel expenses NF,601.49.002,Expenses,,No,,,,
marin.account_601_50_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,"Telephone, internet FF",601.50.001,Expenses,,No,,,,
marin.account_601_50_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,"Telephone, internet NF",601.50.002,Expenses,,No,,,,
marin.account_601_51_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Water FF,601.51.001,Expenses,,No,,,,
marin.account_601_51_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Water NF,601.51.002,Expenses,,No,,,,
marin.account_601_52_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Electric power FF,601.52.001,Expenses,,No,,,,
marin.account_601_52_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Electric power NF,601.52.002,Expenses,,No,,,,
marin.account_601_54_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cleaning articles and expenses FF,601.54.001,Expenses,,No,,,,
marin.account_601_54_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cleaning articles and expenses NF,601.54.002,Expenses,,No,,,,
marin.account_601_56_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Maintenance and conservation FF,601.56.001,Expenses,,No,,,,
marin.account_601_56_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Maintenance and conservation NF,601.56.002,Expenses,,No,,,,
marin.account_601_57_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Insurance and bonds FF,601.57.001,Expenses,,No,,,,
marin.account_601_58_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Other taxes and duties FF,601.58.001,Expenses,,No,,,,
marin.account_601_58_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Other taxes and duties NF,601.58.002,Expenses,,No,,,,
marin.account_601_63_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Donations and aids FF,601.63.001,Expenses,,No,,,,
marin.account_601_63_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Donations and aids NF,601.63.002,Expenses,,No,,,,
marin.account_601_78_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Property taxes FF,601.78.001,Expenses,,No,,,,
marin.account_601_78_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Property taxes NF,601.78.002,Expenses,,No,,,,
marin.account_601_80_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Construction expenses FF,601.80.001,Expenses,,No,,,,
marin.account_601_80_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Construction expenses NF,601.80.002,Expenses,,No,,,,
marin.account_601_83_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Non-deductible expenses - personal,601.83.001,Expenses,,No,,,,
marin.account_601_83_008_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Non-deductible expenses - Actualizaciones,601.83.008,Expenses,,No,,,,
marin.account_601_84_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Other general expenses FF,601.84.001,Expenses,,No,,,,
marin.account_601_84_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Other general expenses NF,601.84.002,Expenses,,No,,,,
marin.account_602_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Wages and salaries FF,602.01.001,Expenses,,No,,,,
marin.account_602_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Wages and salaries NF,602.01.002,Expenses,,No,,,,
marin.account_602_02_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Compensations - Payments made in excess to the worker FF,602.02.001,Expenses,,No,,,,
marin.account_602_02_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Compensations - Payments made in excess to the worker NF,602.02.002,Expenses,,No,,,,
marin.account_602_06_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacations FF,602.06.001,Expenses,,No,,,,
marin.account_602_06_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacations NF,602.06.002,Expenses,,No,,,,
marin.account_602_07_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacation bonus FF,602.07.001,Expenses,,No,,,,
marin.account_602_07_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Vacation bonus NF,602.07.002,Expenses,,No,,,,
marin.account_602_10_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Gratifications NF,602.10.002,Expenses,,No,,,,
marin.account_602_12_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Christmas bonus FF,602.12.001,Expenses,,No,,,,
marin.account_602_12_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Christmas bonus NF,602.12.002,Expenses,,No,,,,
marin.account_602_15_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Employee pantry FF,602.15.001,Expenses,,No,,,,
marin.account_602_15_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Employee pantry NF,602.15.002,Expenses,,No,,,,
marin.account_602_16_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Transportation FF,602.16.001,Expenses,,No,,,,
marin.account_602_16_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Transportation NF,602.16.002,Expenses,,No,,,,
marin.account_602_17_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Medical services NF,602.17.002,Expenses,,No,,,,
marin.account_602_19_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Savings fund NF,602.19.002,Expenses,,No,,,,
marin.account_602_25_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Other employee benefits FF,602.25.001,Expenses,,No,,,,
marin.account_602_25_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Other employee benefits NF,602.25.002,Expenses,,No,,,,
marin.account_602_26_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Employer's social security contributions FF,602.26.001,Expenses,,No,,,,
