"id","category_id/id","unspsc_code_id/id","active","factor","rounding","uom_type","name"
"uom_uom_114","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","5.0","0.01","Smaller than the reference Unit of measure","0.200kg"
"uom_uom_115","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","6.25","0.01","Smaller than the reference Unit of measure","0.160kg"
"uom_uom_116","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","6.666667","0.01","Smaller than the reference Unit of measure","0.150kg"
"uom_uom_117","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","10.0","0.01","Smaller than the reference Unit of measure","0.100kg"
"uom_uom_118","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","66.666667","0.01","Smaller than the reference Unit of measure","0.015kg"
"uom_uom_119","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","100.0","0.01","Smaller than the reference Unit of measure","0.010kg"
"uom_uom_120","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","0.005","0.01","Bigger than the reference Unit of measure","200kg"
"uom_uom_121","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","0.02","0.01","Bigger than the reference Unit of measure","50kg"
"uom_uom_122","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","0.033333","0.01","Bigger than the reference Unit of measure","30kg"
"uom_uom_123","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","0.04","0.01","Bigger than the reference Unit of measure","25kg"
"uom_uom_124","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_H87","True","0.05","0.01","Bigger than the reference Unit of measure","20kg"
