id,currency_id/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance,tag_ids/id,company_ids/id
account_1098_504_09_001,,"Automobiles, buses and trucks depreciation FF",504.09.001,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1099_504_09_002,,"Automobiles, buses and trucks depreciation NF",504.09.002,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1100_504_10_001,,Furniture and office equipment depreciation FF,504.10.001,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1101_504_10_002,,Furniture and office equipment depreciation NF,504.10.002,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1102_504_11_001,,Computing equipment depreciation FF,504.11.001,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1103_504_12_001,,Communications equipment depreciation FF,504.12.001,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1104_504_14_001,,Land depreciation FF,504.14.001,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1105_504_14_002,,Land depreciation NF,504.14.002,Depreciation,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1106_601_01_001,,Wages and salaries FF,601.01.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1107_601_01_002,,Wages and salaries NF,601.01.002,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1108_601_06_001,,Vacations FF,601.06.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1109_601_06_002,,Vacations NF,601.06.002,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1110_601_07_001,,Vacation bonus FF,601.07.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1111_601_07_002,,Vacation bonus NF,601.07.002,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1112_601_12_001,,Christmas bonus FF,601.12.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1113_601_12_002,,Christmas bonus NF,601.12.002,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1114_601_15_001,,Personal pantry FF,601.15.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1115_601_15_002,,Personal pantry NF,601.15.002,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1116_601_16_001,,Transportation FF,601.16.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1117_601_16_002,,Transportation NF,601.16.002,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
account_1118_601_17_001,,Medical services FF,601.17.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1119_601_17_002,,Medical services NF,601.17.002,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1120_601_22_001,,Workteam meals FF,601.22.001,Expenses,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr"
