"id","company_id/id","previous_bom_id/id","product_tmpl_id/id","product_uom_id/id","code","product_qty","type","ready_to_produce","consumption","sequence","active","bom_line_ids/id","bom_line_ids/product_id/id","bom_line_ids/product_uom_id/id","bom_line_ids/product_qty","bom_line_ids/manual_consumption","bom_line_ids/sequence"
"","","","","","","","","","","","","bom_line_1129","marin_data.product_product_2329","uom.product_uom_unit","2.0","","6"
"bom_1016","marin_data.company_lmmg","","marin_data.product_template_1745","uom.product_uom_litre","Formulate Linexar CT 12x1L Batch 500","500.0","Manufacture this product"," When all components are available","Allowed with warning","21","True","bom_line_1130","marin_data.product_product_1465","uom.product_uom_kgm","43.34","True","1"
"","","","","","","","","","","","","bom_line_1131","marin_data.product_product_1401","uom.product_uom_kgm","304.54","True","2"
"","","","","","","","","","","","","bom_line_1132","marin_data.product_product_1728","uom.product_uom_kgm","19.34","True","3"
"","","","","","","","","","","","","bom_line_1133","marin_data.product_product_1259","uom.product_uom_kgm","10.18","True","4"
"","","","","","","","","","","","","bom_line_1134","marin_data.product_product_1260","uom.product_uom_kgm","30.55","True","5"
"","","","","","","","","","","","","bom_line_1135","marin_data.product_product_1832","uom.product_uom_kgm","3.22","True","6"
"","","","","","","","","","","","","bom_line_1136","marin_data.product_product_1122","uom.product_uom_kgm","0.58","True","7"
"","","","","","","","","","","","","bom_line_1137","marin_data.product_product_2121","uom.product_uom_kgm","6.45","True","8"
"","","","","","","","","","","","","bom_line_1138","marin_data.product_product_1573","uom.product_uom_kgm","0.26","","9"
"","","","","","","","","","","","","bom_line_1139","marin_data.product_product_1663","uom.product_uom_unit","500.0","","12"
"","","","","","","","","","","","","bom_line_1140","marin_data.product_product_1664","uom.product_uom_unit","500.0","","13"
"","","","","","","","","","","","","bom_line_1141","marin_data.product_product_2098","uom.product_uom_unit","500.0","","14"
"","","","","","","","","","","","","bom_line_1142","marin_data.product_product_1501","uom.product_uom_unit","42.0","","15"
"","","","","","","","","","","","","bom_line_1143","marin_data.product_product_2107","uom.product_uom_unit","42.0","","16"
"","","","","","","","","","","","","bom_line_1144","marin_data.product_product_2329","uom.product_uom_unit","2.0","","17"
"bom_1017","marin_data.company_lmmg","","marin_data.product_template_1745","uom.product_uom_litre","Formulate Linexar CT 12x1L Batch 200","200.0","Manufacture this product"," When all components are available","Allowed with warning","22","True","bom_line_1145","marin_data.product_product_1465","uom.product_uom_kgm","17.34","True","1"
"","","","","","","","","","","","","bom_line_1146","marin_data.product_product_1401","uom.product_uom_kgm","121.82","True","2"
"","","","","","","","","","","","","bom_line_1147","marin_data.product_product_1728","uom.product_uom_kgm","7.73","True","3"
"","","","","","","","","","","","","bom_line_1148","marin_data.product_product_1259","uom.product_uom_kgm","4.07","True","4"
"","","","","","","","","","","","","bom_line_1149","marin_data.product_product_1260","uom.product_uom_kgm","12.22","True","5"
"","","","","","","","","","","","","bom_line_1150","marin_data.product_product_1832","uom.product_uom_kgm","1.29","True","6"
"","","","","","","","","","","","","bom_line_1151","marin_data.product_product_1122","uom.product_uom_kgm","0.23","True","7"
"","","","","","","","","","","","","bom_line_1152","marin_data.product_product_2121","uom.product_uom_kgm","2.58","True","8"
"","","","","","","","","","","","","bom_line_1153","marin_data.product_product_1573","uom.product_uom_kgm","0.1","","9"
"","","","","","","","","","","","","bom_line_1154","marin_data.product_product_1868","uom.product_uom_unit","200.0","","10"
"","","","","","","","","","","","","bom_line_1155","marin_data.product_product_1870","uom.product_uom_unit","200.0","","11"
"","","","","","","","","","","","","bom_line_1156","marin_data.product_product_2098","uom.product_uom_unit","200.0","","12"
"","","","","","","","","","","","","bom_line_1157","marin_data.product_product_1839","uom.product_uom_unit","17.0","","13"
"","","","","","","","","","","","","bom_line_1158","marin_data.product_product_2107","uom.product_uom_unit","17.0","","14"
"","","","","","","","","","","","","bom_line_1159","marin_data.product_product_2329","uom.product_uom_unit","1.0","","15"
"bom_1018","marin_data.company_lmmg","","marin_data.product_template_1745","uom.product_uom_litre","Formulate Linexar CT 12x1L Batch 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","20","True","bom_line_1160","marin_data.product_product_1465","uom.product_uom_kgm","86.68","True","2"
"","","","","","","","","","","","","bom_line_1161","marin_data.product_product_1401","uom.product_uom_kgm","609.09","True","3"
"","","","","","","","","","","","","bom_line_1162","marin_data.product_product_1728","uom.product_uom_kgm","38.67","True","4"
"","","","","","","","","","","","","bom_line_1163","marin_data.product_product_1259","uom.product_uom_kgm","20.37","True","5"
"","","","","","","","","","","","","bom_line_1164","marin_data.product_product_1260","uom.product_uom_kgm","61.1","True","6"
"","","","","","","","","","","","","bom_line_1165","marin_data.product_product_1832","uom.product_uom_kgm","6.45","True","7"
"","","","","","","","","","","","","bom_line_1166","marin_data.product_product_1122","uom.product_uom_kgm","1.16","True","8"
"","","","","","","","","","","","","bom_line_1167","marin_data.product_product_2121","uom.product_uom_kgm","12.89","True","9"
"","","","","","","","","","","","","bom_line_1168","marin_data.product_product_1573","uom.product_uom_kgm","0.52","","10"
"","","","","","","","","","","","","bom_line_1169","marin_data.product_product_1663","uom.product_uom_unit","1000.0","","13"
"","","","","","","","","","","","","bom_line_1170","marin_data.product_product_1664","uom.product_uom_unit","1000.0","","14"
"","","","","","","","","","","","","bom_line_1171","marin_data.product_product_2098","uom.product_uom_unit","1000.0","","15"
"","","","","","","","","","","","","bom_line_1172","marin_data.product_product_1501","uom.product_uom_unit","83.0","","16"
"","","","","","","","","","","","","bom_line_1173","marin_data.product_product_2107","uom.product_uom_unit","83.0","","17"
"","","","","","","","","","","","","bom_line_1174","marin_data.product_product_2329","uom.product_uom_unit","2.0","","18"
"bom_1019","marin_data.company_lmmg","","marin_data.product_template_1749","uom.product_uom_litre","Formulate Linexar 60 XM 12x1L Batch 200","200.0","Manufacture this product"," When all components are available","Allowed with warning","25","True","bom_line_1175","marin_data.product_product_1122","uom.product_uom_kgm","0.27","True","1"
"","","","","","","","","","","","","bom_line_1176","marin_data.product_product_1259","uom.product_uom_kgm","3.86","True","1"
"","","","","","","","","","","","","bom_line_1177","marin_data.product_product_1260","uom.product_uom_kgm","11.57","True","1"
"","","","","","","","","","","","","bom_line_1178","marin_data.product_product_1465","uom.product_uom_kgm","122.46","True","1"
"","","","","","","","","","","","","bom_line_1179","marin_data.product_product_1573","uom.product_uom_kgm","0.1","","1"
"","","","","","","","","","","","","bom_line_1180","marin_data.product_product_1728","uom.product_uom_kgm","7.32","True","1"
"","","","","","","","","","","","","bom_line_1181","marin_data.product_product_1832","uom.product_uom_kgm","1.95","True","1"
"","","","","","","","","","","","","bom_line_1182","marin_data.product_product_1839","uom.product_uom_unit","17.0","","1"
"","","","","","","","","","","","","bom_line_1183","marin_data.product_product_1868","uom.product_uom_unit","200.0","","1"
"","","","","","","","","","","","","bom_line_1184","marin_data.product_product_1870","uom.product_uom_unit","200.0","","1"
"","","","","","","","","","","","","bom_line_1185","marin_data.product_product_2097","uom.product_uom_unit","200.0","","1"
"","","","","","","","","","","","","bom_line_1186","marin_data.product_product_2106","uom.product_uom_unit","17.0","","1"
"","","","","","","","","","","","","bom_line_1187","marin_data.product_product_2121","uom.product_uom_kgm","2.44","True","1"
"bom_1020","marin_data.company_lmmg","","marin_data.product_template_1749","uom.product_uom_litre","Formulate Linexar 60 XM 12x1L Batch 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","23","True","bom_line_1191","marin_data.product_product_1465","uom.product_uom_kgm","612.32","True","1"
"","","","","","","","","","","","","bom_line_1189","marin_data.product_product_1259","uom.product_uom_kgm","19.28","True","2"
"","","","","","","","","","","","","bom_line_1190","marin_data.product_product_1260","uom.product_uom_kgm","57.83","True","3"
"","","","","","","","","","","","","bom_line_1188","marin_data.product_product_1122","uom.product_uom_kgm","1.34","True","4"
"","","","","","","","","","","","","bom_line_1193","marin_data.product_product_1728","uom.product_uom_kgm","36.6","True","5"
"","","","","","","","","","","","","bom_line_1194","marin_data.product_product_1832","uom.product_uom_kgm","9.76","True","6"
"","","","","","","","","","","","","bom_line_1200","marin_data.product_product_2121","uom.product_uom_kgm","12.2","True","7"
"","","","","","","","","","","","","bom_line_1192","marin_data.product_product_1573","uom.product_uom_kgm","0.49","","8"
"","","","","","","","","","","","","bom_line_1195","marin_data.product_product_1839","uom.product_uom_unit","83.0","","9"
"","","","","","","","","","","","","bom_line_1196","marin_data.product_product_1868","uom.product_uom_unit","1000.0","","10"
"","","","","","","","","","","","","bom_line_1197","marin_data.product_product_1870","uom.product_uom_unit","1000.0","","11"
"","","","","","","","","","","","","bom_line_1198","marin_data.product_product_2097","uom.product_uom_unit","1000.0","","12"
"","","","","","","","","","","","","bom_line_1199","marin_data.product_product_2106","uom.product_uom_unit","83.0","","13"
"bom_1021","marin_data.company_lmmg","","marin_data.product_template_1767","uom.product_uom_litre","Refill Magistop XM 12x1L 600","600.0","Manufacture this product"," When all components are available","Allowed with warning","9","True","bom_line_1201","marin_data.product_product_2029","uom.product_uom_litre","600.0","True","1"
"","","","","","","","","","","","","bom_line_1202","marin_data.product_product_1868","uom.product_uom_unit","600.0","","2"
"","","","","","","","","","","","","bom_line_1203","marin_data.product_product_1665","uom.product_uom_unit","600.0","","4"
"","","","","","","","","","","","","bom_line_1204","marin_data.product_product_2115","uom.product_uom_unit","650.0","","5"
"","","","","","","","","","","","","bom_line_1205","marin_data.product_product_1501","uom.product_uom_unit","50.0","","6"
"","","","","","","","","","","","","bom_line_1206","marin_data.product_product_2329","uom.product_uom_unit","1.0","","7"
"bom_1022","marin_data.company_lmmg","","marin_data.product_template_1892","uom.product_uom_litre","Formulate Omipro CT Batch 12x1L 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","26","True","bom_line_1207","marin_data.product_product_1122","uom.product_uom_kgm","3.45","True","1"
"","","","","","","","","","","","","bom_line_1208","marin_data.product_product_1259","uom.product_uom_kgm","42.23","True","1"
"","","","","","","","","","","","","bom_line_1209","marin_data.product_product_1260","uom.product_uom_kgm","42.23","True","1"
"","","","","","","","","","","","","bom_line_1210","marin_data.product_product_1401","uom.product_uom_kgm","398.96","True","1"
"","","","","","","","","","","","","bom_line_1211","marin_data.product_product_1521","uom.product_uom_kgm","13.8","True","1"
"","","","","","","","","","","","","bom_line_1212","marin_data.product_product_1573","uom.product_uom_kgm","1.38","","1"
"","","","","","","","","","","","","bom_line_1213","marin_data.product_product_1728","uom.product_uom_kgm","41.4","True","1"
"","","","","","","","","","","","","bom_line_1214","marin_data.product_product_1764","uom.product_uom_kgm","35.69","True","1"
"","","","","","","","","","","","","bom_line_1215","marin_data.product_product_1765","uom.product_uom_kgm","486.37","","1"
"","","","","","","","","","","","","bom_line_1216","marin_data.product_product_1832","uom.product_uom_kgm","11.04","True","1"
