id,name,type,code,sequence,color,active,show_on_dashboard,refund_sequence,payment_sequence,x_treatment,company_id/id,currency_id/id,default_account_id/id,default_payable_account_id/id,default_receivable_account_id/id,default_refund_account_id/id,loss_account_id/id,profit_account_id/id,suspense_account_id/id,account_control_ids/id,user_can_access_ids/id,journal_group_ids/id
journal_ant01_lmmg,Suppliers advances FF,Cash,ANT01,15,10,True,,,,Fiscal real,marin_data.company_lmmg,,marin_data.account_120_01_001,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_120_01_001,marin_data.account_201_01_001",,
journal_ant02_lmmg,Suppliers advances NF,Cash,ANT02,16,10,True,,,,Not Fiscal real,marin_data.company_lmmg,,marin_data.account_120_01_002,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,marin_data.journal_group_6
journal_efc01_lmmg,Cash Main,Cash,EFC01,13,10,True,True,,,Not Fiscal real,marin_data.company_lmmg,,marin_data.account_101_01_001_lmmg,marin_data.account_201_01_002,marin_data.account_105_01_002,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_105_01_001,marin_data.account_105_01_002,marin_data.account_201_01_001,marin_data.account_201_01_002",,marin_data.journal_group_6
journal_efc02_lmmg,Cash USD,Cash,EFC02,14,10,True,,,,Not Fiscal real,marin_data.company_lmmg,base.USD,marin_data.account_101_01_003_lmmg,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,marin_data.journal_group_6
journal_eft_lmmg,Payments done by thirth party in name of the company FF,Cash,EFT,17,10,True,,,,Fiscal real,marin_data.company_lmmg,,marin_data.account_202_03_001,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,
journal_bnc01_lmmg,Bank BBVA 0110152269,Bank,BNC01,12,10,True,,,,Fiscal real,marin_data.company_lmmg,,marin_data.account_102_01_002_lmmg,marin_data.account_201_01_001,marin_data.account_105_01_001,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_111,marin_data.account_105_01_001,marin_data.account_120_01_001,marin_data.account_201_01_001,marin_data.account_201_02_001,marin_data.account_202_03_099,marin_data.account_401_04_014,marin_data.account_701_01_001,marin_data.account_702_01_001,marin_data.account_703_21_001,marin_data.account_704_23_001,marin_data.account_102_01_001_lmmg,marin_data.account_102_01_002_lmmg",,
journal_bnc02_lmmg,Bank BBVA Payroll,Bank,BNC02,31,10,True,,,,Fiscal simulated,marin_data.company_lmmg,,marin_data.account_102_01_010_lmmg,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,
journal_bnc03_lmmg,Bank BBVA 0478986592,Bank,BNC03,34,10,True,True,,,Fiscal real,marin_data.company_lmmg,,marin_data.account_102_01_001_lmmg,marin_data.account_201_01_001,marin_data.account_105_01_001,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_000,marin_data.account_102_01_111,marin_data.account_105_01_001,marin_data.account_120_01_001,marin_data.account_201_01_001,marin_data.account_201_02_001,marin_data.account_202_03_001,marin_data.account_202_03_099,marin_data.account_252_07_001,marin_data.account_401_04_014,marin_data.account_701_01_001,marin_data.account_703_21_001,marin_data.account_704_23_001,marin_data.account_102_01_001_lmmg",,
journal_bnc04_lmmg,Bank BBVA CC 5435,Bank,BNC04,35,10,True,,,,Fiscal real,marin_data.company_lmmg,,marin_data.account_202_03_002_lmmg,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_000,marin_data.account_105_01_001,marin_data.account_120_01_001,marin_data.account_201_01_001,marin_data.account_201_02_001,marin_data.account_401_04_007,marin_data.account_401_04_013,marin_data.account_703_21_001,marin_data.account_704_23_001,marin_data.account_202_03_002_lmmg",,
journal_bnc05_lmmg,Bank Efectivale - Expenses,Bank,BNC05,36,10,True,,,,Fiscal real,marin_data.company_lmmg,,marin_data.account_102_01_003_lmmg,marin_data.account_201_01_001,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_120_01_001,marin_data.account_201_01_001,marin_data.account_703_21_001,marin_data.account_704_23_001,marin_data.account_102_01_003_lmmg",,
journal_bnc06_lmmg,Bank Banbajio 0038383038,Bank,BNC06,38,10,True,True,,,Fiscal real,marin_data.company_lmmg,,marin_data.account_102_01_004_lmmg,marin_data.account_201_01_001,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_000,marin_data.account_105_01_001,marin_data.account_201_01_001,marin_data.account_102_01_004_lmmg",,
journal_pex_lmmg,Foreign suppliers FF,Purchase,PEX,33,6,True,,True,,Fiscal real,marin_data.company_lmmg,,marin_data.account_501_01_001,marin_data.account_201_02_001,,,,,,"marin_data.account_119_01_001,marin_data.account_201_01_001,marin_data.account_201_02_001,marin_data.account_603_32_001,marin_data.account_603_55_001",,
journal_pf_lmmg,Suppliers FF,Purchase,PF,25,6,True,True,True,,Fiscal real,marin_data.company_lmmg,,marin_data.account_501_01_001,marin_data.account_201_01_001,,,,,,"marin_data.account_119_01_001,marin_data.account_119_01_002,marin_data.account_119_03_001,marin_data.account_120_01_001,marin_data.account_151_01_001,marin_data.account_153_01_001,marin_data.account_154_01_001,marin_data.account_155_01_001,marin_data.account_156_01_001,marin_data.account_165_01_001,marin_data.account_179_01_001,marin_data.account_201_01_001,marin_data.account_202_03_001,marin_data.account_501_01_001,marin_data.account_601_15_001,marin_data.account_601_17_001,marin_data.account_601_52_001,marin_data.account_601_58_001,marin_data.account_601_63_001,marin_data.account_601_83_001,marin_data.account_601_84_001,marin_data.account_602_16_001,marin_data.account_602_48_001,marin_data.account_602_49_001,marin_data.account_602_50_001,marin_data.account_602_51_001,marin_data.account_602_52_001,marin_data.account_602_56_001,marin_data.account_602_57_001,marin_data.account_602_61_001,marin_data.account_602_62_001,marin_data.account_602_72_001,marin_data.account_602_77_001,marin_data.account_602_83_001,marin_data.account_602_83_002,marin_data.account_602_83_004,marin_data.account_602_83_005,marin_data.account_602_83_008,marin_data.account_602_84_001,marin_data.account_603_32_001,marin_data.account_603_34_001,marin_data.account_603_45_001,marin_data.account_603_55_001,marin_data.account_603_58_001,marin_data.account_603_59_001,marin_data.account_603_62_001,marin_data.account_701_04_001,marin_data.account_701_10_001,marin_data.account_703_21_001",,
journal_pn_lmmg,Suppliers NF,Purchase,PN,27,6,True,True,True,,Not Fiscal real,marin_data.company_lmmg,,marin_data.account_501_01_002,marin_data.account_201_01_002,,,,,,"marin_data.account_151_01_002,marin_data.account_201_01_002,marin_data.account_501_01_002,marin_data.account_503_01_005,marin_data.account_601_63_002,marin_data.account_602_01_002,marin_data.account_602_48_002,marin_data.account_602_56_002,marin_data.account_602_72_002,marin_data.account_602_74_002,marin_data.account_603_45_002",,marin_data.journal_group_6
journal_pnx_lmmg,Suppliers NX,Purchase,PNX,28,6,True,,,,Not Fiscal simulated,marin_data.company_lmmg,base.MXN,marin_data.account_501_01_002,marin_data.account_201_01_002,,,,,,,,"marin_data.journal_group_5,marin_data.journal_group_6"
journal_pp_lmmg,Lenders NF,Purchase,PP,30,0,True,,,,Not Fiscal real,marin_data.company_lmmg,,marin_data.account_501_01_002,marin_data.account_201_01_002,,,,,,marin_data.account_201_01_002,,
journal_px_lmmg,Suppliers FX,Purchase,PX,26,6,True,,True,,Fiscal simulated,marin_data.company_lmmg,,marin_data.account_501_01_003,marin_data.account_201_01_001,,,,,,"marin_data.account_119_03_001,marin_data.account_201_01_001,marin_data.account_501_01_001,marin_data.account_501_01_003",,marin_data.journal_group_5
journal_cf_lmmg,Customers FF,Sales,CF,18,11,True,True,True,,Fiscal real,marin_data.company_lmmg,,marin_data.account_401_04_001,marin_data.account_105_01_001,marin_data.account_105_01_001,,,,,"marin_data.account_105_01_001,marin_data.account_209_01_001,marin_data.account_209_02_001,marin_data.account_401_01_001,marin_data.account_401_04_001",,
