id,name,is_storable,type,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,sale_ok,is_published,allow_out_of_stock_order,tracking,invoice_policy,bill_policy,manufacturer_pref,uom_id/id,categ_id/id,unspsc_code_id/id,manufacturer_id/id,supplier_taxes_id/id,product_tag_ids/id,pos_categ_ids/id
product_template_1300,Aspersora Maruyama,True,Goods,1.0,5780.0,0.0,0.0,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_169,,,,,
product_template_1301,Aspersora PJN20,True,Goods,1.0,9000.0,0.0,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_169,,,,,
product_template_1302,Aspersora Shiraiwa GX35,True,Goods,1.0,6830.0,0.0,0.0,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_169,,,,,
product_template_1303,Aspersora Shiraiwa PWC-768M,True,Goods,1.0,3900.0,0.0,0.0,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_169,,,,,
product_template_1304,Aspersora Swismex 425100 Piraña 15L,True,Goods,1.0,1000.0,0.0,0.0,1.0,,0.0,True,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_169,,,,,marin_data.pos_category_106
product_template_1305,Aspersora XP20,True,Goods,1.0,900.0,0.0,0.0,1.0,,0.0,True,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_169,,,,,marin_data.pos_category_106
product_template_1306,Aspersora manual de Mochila Portatil Modelo 425015 reforzada,True,Goods,1.0,0.0,0.0,0.0,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_169,,,,,
product_template_1307,Asphix 90 0.950L,True,Goods,1.0,105.0,0.0,1.0,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,marin_data.uom_120,marin_data.product_category_148,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_altiara,,,
product_template_1308,Aspid Max 0.250L,True,Goods,116.41,250.0,0.0,0.27,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_112,marin_data.product_category_147,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_agricam,,"marin_data.product_tag_14,marin_data.product_tag_81",
product_template_1309,Aspid Max 0.950L,True,Goods,521.95,900.0,0.001,1.1,1.0,,0.0,,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_litre,marin_data.product_category_147,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_agricam,,"marin_data.product_tag_14,marin_data.product_tag_81",
product_template_1310,Atento 0.250kg,True,Goods,351.0,500.0,0.0,0.25,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_145,marin_data.product_category_148,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_versa,,,marin_data.pos_category_105
product_template_1311,Atlas G-5002L-LQ-(CQ) 1kg,True,Goods,357.0,1.0,0.001,1.0,1.0,,0.0,True,,,True,,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_124,,marin_data.manufacturer_croda,,,
product_template_1312,Atlox 4913-LQ-(BR) 1kg,True,Goods,283.0,1.0,0.001,1.0,1.0,,0.0,True,,,True,,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_124,,marin_data.manufacturer_croda,,,
product_template_1313,Atramix 90% 1kg,True,Goods,1.0,190.0,0.001,1.0,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_142,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_nufarm,,,
product_template_1314,Atrazina 90 1kg,True,Goods,1.0,0.0,0.001,1.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_142,product_unspsc.unspsc_code_10161900,marin_data.partner_5333,,,
product_template_1315,Automoviles,,Goods,1.0,1.0,0.001,0.0,1.0,,0.0,True,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_102,product_unspsc.unspsc_code_25101503,,,,
product_template_1316,Avena semilla 1kg,True,Goods,1.0,0.0,0.001,1.0,1.0,,0.0,,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_174,,,,,
