id,company_id/id,warehouse_id/id,default_location_src_id/id,default_location_dest_id/id,name,code,sequence_code,barcode,reservation_method,active,create_backorder,use_existing_lots,use_create_lots,sequence,color
picking_type_1134,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,stock.stock_location_customers,Deliveries MOCH,Delivery,OUT,MOCH-DELIVERY,Manually,,Always,True,,100,10
picking_type_1135,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,marin_data.stock_location_1070,Pick,Internal Transfer,PICK,MOCH-PICK,At Confirmation,,Ask,True,,700,0
picking_type_1136,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1070,marin_data.stock_location_1066,Pack,Internal Transfer,PACK,MOCH-PACK,At Confirmation,,Ask,True,,900,0
picking_type_1137,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1067,marin_data.stock_location_1068,Quality Control,Internal Transfer,QC,MOCHQC,At Confirmation,,Ask,True,,1600,0
picking_type_1138,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1068,marin_data.stock_location_1066,Storage,Internal Transfer,STOR,MOCHSTOR,At Confirmation,,Ask,True,,1700,0
picking_type_1139,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,marin_data.stock_location_1066,Internal Transfers MOCH,Internal Transfer,INT,MOCH-INTERNAL,At Confirmation,,Never,True,,350,5
picking_type_1140,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1067,marin_data.stock_location_1069,Cross Dock,Internal Transfer,XD,MOCHXD,At Confirmation,,Ask,True,,1800,0
picking_type_1141,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,marin_data.stock_location_1071,Pick Components,Internal Transfer,PC,MOCH-PC,At Confirmation,,Ask,True,,800,0
picking_type_1142,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1072,marin_data.stock_location_1066,Store Finished Product,Internal Transfer,SFP,MOCH-SFP,At Confirmation,,Ask,True,True,1000,0
picking_type_1143,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,marin_data.stock_location_1066,Manufacturing,Manufacturing,MO,MOCH-MANUF,At Confirmation,,Always,True,True,600,0
picking_type_1144,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,stock.stock_location_customers,PoS Orders,Delivery,POS,MOCH-POS,At Confirmation,,Always,True,,200,10
picking_type_1145,marin_data.company_lmmr,marin_data.warehouse_110,stock.stock_location_suppliers,marin_data.stock_location_1074,Receipts HMT,Receipt,IN,HMT-RECEIPTS,At Confirmation,,Always,True,True,300,11
picking_type_1146,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,stock.stock_location_customers,Deliveries HMT,Delivery,OUT,HMT-DELIVERY,Manually,,Always,True,,100,10
picking_type_1147,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,marin_data.stock_location_1078,Pick,Internal Transfer,PICK,HMT-PICK,At Confirmation,,Ask,True,,700,0
picking_type_1148,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1078,marin_data.stock_location_1074,Pack,Internal Transfer,PACK,HMT-PACK,At Confirmation,,Ask,True,,900,0
picking_type_1149,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1075,marin_data.stock_location_1076,Quality Control,Internal Transfer,QC,HMTQC,At Confirmation,,Ask,True,,1600,0
picking_type_1150,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1076,marin_data.stock_location_1074,Storage,Internal Transfer,STOR,HMTSTOR,At Confirmation,,Ask,True,,1700,0
